mode: set
qmanager-backend/pkg/at/client.go:23.43,24.22 1 1
qmanager-backend/pkg/tlsgen/tlsgen.go:22.19,24.3 1 0
qmanager-backend/pkg/tlsgen/tlsgen.go:26.2,29.71 3 1
qmanager-backend/pkg/tlsgen/tlsgen.go:29.71,31.3 1 1
qmanager-backend/pkg/tlsgen/tlsgen.go:33.2,33.51 1 1
qmanager-backend/pkg/tlsgen/tlsgen.go:33.51,38.52 4 0
qmanager-backend/pkg/tlsgen/tlsgen.go:38.52,40.4 1 0
qmanager-backend/pkg/tlsgen/tlsgen.go:44.2,45.16 2 1
qmanager-backend/pkg/tlsgen/tlsgen.go:45.16,47.3 1 0
qmanager-backend/pkg/tlsgen/tlsgen.go:50.2,52.16 3 1
qmanager-backend/pkg/tlsgen/tlsgen.go:52.16,54.3 1 0
qmanager-backend/pkg/tlsgen/tlsgen.go:57.2,62.52 2 1
qmanager-backend/pkg/tlsgen/tlsgen.go:62.52,64.3 1 1
qmanager-backend/pkg/tlsgen/tlsgen.go:66.2,82.16 3 1
qmanager-backend/pkg/tlsgen/tlsgen.go:82.16,84.3 1 0
qmanager-backend/pkg/tlsgen/tlsgen.go:87.2,88.16 2 1
qmanager-backend/pkg/tlsgen/tlsgen.go:88.16,90.3 1 0
qmanager-backend/pkg/tlsgen/tlsgen.go:91.2,92.95 2 1
qmanager-backend/pkg/tlsgen/tlsgen.go:92.95,94.3 1 0
qmanager-backend/pkg/tlsgen/tlsgen.go:97.2,98.16 2 1
qmanager-backend/pkg/tlsgen/tlsgen.go:98.16,100.3 1 0
qmanager-backend/pkg/tlsgen/tlsgen.go:101.2,104.16 3 1
qmanager-backend/pkg/tlsgen/tlsgen.go:104.16,106.3 1 0
qmanager-backend/pkg/tlsgen/tlsgen.go:107.2,107.96 1 1
qmanager-backend/pkg/tlsgen/tlsgen.go:107.96,109.3 1 0
qmanager-backend/pkg/tlsgen/tlsgen.go:111.2,111.31 1 1
qmanager-backend/pkg/tlsgen/tlsgen.go:114.46,117.2 2 1
qmanager-backend/pkg/tlsgen/tlsgen.go:119.42,121.16 2 1
qmanager-backend/pkg/tlsgen/tlsgen.go:121.16,123.3 1 0
qmanager-backend/pkg/tlsgen/tlsgen.go:124.2,125.31 2 1
qmanager-backend/pkg/tlsgen/tlsgen.go:125.31,126.34 1 1
qmanager-backend/pkg/tlsgen/tlsgen.go:126.34,127.12 1 0
qmanager-backend/pkg/tlsgen/tlsgen.go:129.3,130.17 2 1
qmanager-backend/pkg/tlsgen/tlsgen.go:130.17,131.12 1 0
qmanager-backend/pkg/tlsgen/tlsgen.go:133.3,133.30 1 1
qmanager-backend/pkg/tlsgen/tlsgen.go:133.30,135.28 2 1
qmanager-backend/pkg/tlsgen/tlsgen.go:136.20,137.14 1 1
qmanager-backend/pkg/tlsgen/tlsgen.go:138.21,139.14 1 0
qmanager-backend/pkg/tlsgen/tlsgen.go:141.4,141.37 1 1
qmanager-backend/pkg/tlsgen/tlsgen.go:141.37,143.5 1 1
qmanager-backend/pkg/tlsgen/tlsgen.go:146.2,146.17 1 1
qmanager-backend/web/web.go:16.38,18.16 2 1
qmanager-backend/web/web.go:18.16,20.3 1 0
qmanager-backend/web/web.go:21.2,21.21 1 1
qmanager-backend/web/web.go:25.38,27.16 2 1
qmanager-backend/web/web.go:27.16,29.3 1 0
qmanager-backend/web/web.go:30.2,32.71 2 1
qmanager-backend/web/web.go:32.71,34.20 2 1
qmanager-backend/web/web.go:34.20,37.4 2 1
qmanager-backend/web/web.go:40.3,41.17 2 1
qmanager-backend/web/web.go:41.17,45.4 3 0
qmanager-backend/web/web.go:48.3,49.53 2 1
qmanager-backend/web/web.go:49.53,54.4 4 0
qmanager-backend/web/web.go:57.3,58.55 2 1
qmanager-backend/web/web.go:58.55,63.4 4 0
qmanager-backend/web/web.go:66.3,67.29 2 1
qmanager-backend/web/web.go:72.38,75.2 2 1
qmanager-backend/cmd/server/main.go:19.13,21.16 2 0
qmanager-backend/cmd/server/main.go:21.16,23.3 1 0
qmanager-backend/cmd/server/main.go:25.2,26.19 2 0
qmanager-backend/cmd/server/main.go:26.19,28.3 1 0
qmanager-backend/cmd/server/main.go:30.2,48.93 10 0
qmanager-backend/cmd/server/main.go:48.93,51.3 2 0
qmanager-backend/cmd/server/main.go:54.2,54.19 1 0
qmanager-backend/cmd/server/main.go:54.19,58.81 4 0
qmanager-backend/cmd/server/main.go:58.81,61.40 3 0
qmanager-backend/cmd/server/main.go:61.40,64.5 2 0
qmanager-backend/cmd/server/main.go:65.4,65.34 1 0
qmanager-backend/cmd/server/main.go:65.34,68.5 2 0
qmanager-backend/cmd/server/main.go:69.4,69.30 1 0
qmanager-backend/cmd/server/main.go:71.8,74.3 2 0
qmanager-backend/cmd/server/main.go:77.2,77.16 1 0
qmanager-backend/cmd/server/main.go:77.16,79.17 2 0
qmanager-backend/cmd/server/main.go:79.17,81.4 1 0
qmanager-backend/cmd/server/main.go:81.9,83.14 2 0
qmanager-backend/cmd/server/main.go:83.14,84.87 1 0
qmanager-backend/cmd/server/main.go:84.87,86.6 1 0
qmanager-backend/cmd/server/main.go:91.2,92.59 2 0
qmanager-backend/cmd/server/main.go:92.59,94.3 1 0
qmanager-backend/pkg/api/apn.go:40.68,43.32 2 1
qmanager-backend/pkg/api/apn.go:43.32,45.51 2 1
qmanager-backend/pkg/api/apn.go:45.51,48.4 2 0
qmanager-backend/pkg/api/apn.go:49.3,55.9 3 1
qmanager-backend/pkg/api/apn.go:58.2,58.33 1 1
qmanager-backend/pkg/api/apn.go:58.33,60.95 2 1
qmanager-backend/pkg/api/apn.go:60.95,63.4 2 0
qmanager-backend/pkg/api/apn.go:65.3,65.24 1 1
qmanager-backend/pkg/api/apn.go:65.24,67.4 1 0
qmanager-backend/pkg/api/apn.go:69.3,71.37 3 1
qmanager-backend/pkg/api/apn.go:71.37,74.4 2 0
qmanager-backend/pkg/api/apn.go:76.3,76.23 1 1
qmanager-backend/pkg/api/apn.go:76.23,79.4 2 0
qmanager-backend/pkg/api/apn.go:81.3,82.9 2 1
qmanager-backend/pkg/api/apn.go:85.2,85.78 1 0
qmanager-backend/pkg/api/apn.go:89.68,93.50 3 1
qmanager-backend/pkg/api/apn.go:93.50,99.3 2 0
qmanager-backend/pkg/api/apn.go:101.2,104.4 1 1
qmanager-backend/pkg/api/apn.go:107.48,110.29 3 1
qmanager-backend/pkg/api/apn.go:110.29,111.43 1 1
qmanager-backend/pkg/api/apn.go:111.43,113.23 2 1
qmanager-backend/pkg/api/apn.go:113.23,125.5 5 1
qmanager-backend/pkg/api/apn.go:128.2,128.24 1 1
qmanager-backend/pkg/api/apn.go:128.24,132.3 1 0
qmanager-backend/pkg/api/apn.go:133.2,133.17 1 1
qmanager-backend/pkg/api/auth.go:31.74,34.33 2 1
qmanager-backend/pkg/api/auth.go:34.33,37.3 2 0
qmanager-backend/pkg/api/auth.go:39.2,40.83 2 1
qmanager-backend/pkg/api/auth.go:40.83,46.3 2 0
qmanager-backend/pkg/api/auth.go:48.2,49.34 2 1
qmanager-backend/pkg/api/auth.go:49.34,55.3 2 0
qmanager-backend/pkg/api/auth.go:58.2,73.4 6 1
qmanager-backend/pkg/api/auth.go:77.75,81.38 3 1
qmanager-backend/pkg/api/auth.go:81.38,85.3 3 0
qmanager-backend/pkg/api/auth.go:87.2,97.4 2 1
qmanager-backend/pkg/api/auth.go:101.74,105.38 3 1
qmanager-backend/pkg/api/auth.go:105.38,108.3 2 1
qmanager-backend/pkg/api/auth.go:110.2,114.41 4 0
qmanager-backend/pkg/api/auth.go:114.41,117.3 2 0
qmanager-backend/pkg/api/auth.go:119.2,119.78 1 0
qmanager-backend/pkg/api/auth.go:122.29,126.2 3 1
qmanager-backend/pkg/api/bands.go:17.74,20.33 2 1
qmanager-backend/pkg/api/bands.go:20.33,23.3 2 0
qmanager-backend/pkg/api/bands.go:25.2,26.102 2 1
qmanager-backend/pkg/api/bands.go:26.102,33.3 2 0
qmanager-backend/pkg/api/bands.go:35.2,36.22 2 1
qmanager-backend/pkg/api/bands.go:37.13,38.25 1 1
qmanager-backend/pkg/api/bands.go:39.18,40.30 1 0
qmanager-backend/pkg/api/bands.go:41.17,42.26 1 0
qmanager-backend/pkg/api/bands.go:43.10,49.9 2 1
qmanager-backend/pkg/api/bands.go:53.2,53.92 1 1
qmanager-backend/pkg/api/bands.go:53.92,60.3 2 0
qmanager-backend/pkg/api/bands.go:62.2,64.36 3 1
qmanager-backend/pkg/api/bands.go:64.36,71.3 2 0
qmanager-backend/pkg/api/bands.go:74.2,81.4 2 1
qmanager-backend/pkg/api/bands.go:84.35,86.2 1 1
qmanager-backend/pkg/api/features.go:37.73,49.2 3 1
qmanager-backend/pkg/api/features.go:52.79,59.55 5 1
qmanager-backend/pkg/api/features.go:59.55,61.3 1 0
qmanager-backend/pkg/api/features.go:61.8,63.3 1 1
qmanager-backend/pkg/api/features.go:65.2,69.4 1 1
qmanager-backend/pkg/api/features.go:73.53,77.29 3 1
qmanager-backend/pkg/api/features.go:77.29,79.42 2 1
qmanager-backend/pkg/api/features.go:79.42,80.12 1 0
qmanager-backend/pkg/api/features.go:83.3,84.13 2 1
qmanager-backend/pkg/api/features.go:84.13,85.12 1 0
qmanager-backend/pkg/api/features.go:88.3,89.22 2 1
qmanager-backend/pkg/api/features.go:89.22,90.12 1 0
qmanager-backend/pkg/api/features.go:93.3,93.24 1 1
qmanager-backend/pkg/api/features.go:93.24,95.4 1 1
qmanager-backend/pkg/api/features.go:97.3,115.21 7 1
qmanager-backend/pkg/api/features.go:115.21,122.4 6 1
qmanager-backend/pkg/api/features.go:122.9,127.4 4 1
qmanager-backend/pkg/api/features.go:129.3,129.34 1 1
qmanager-backend/pkg/api/features.go:131.2,131.16 1 1
qmanager-backend/pkg/api/features.go:134.62,136.16 2 1
qmanager-backend/pkg/api/features.go:136.16,138.3 1 1
qmanager-backend/pkg/api/features.go:139.2,142.21 3 0
qmanager-backend/pkg/api/features.go:142.21,144.74 2 0
qmanager-backend/pkg/api/features.go:144.74,146.24 2 0
qmanager-backend/pkg/api/features.go:146.24,151.5 4 0
qmanager-backend/pkg/api/features.go:154.2,154.27 1 0
qmanager-backend/pkg/api/handlers.go:18.46,20.2 1 1
qmanager-backend/pkg/api/handlers.go:23.53,77.2 32 1
qmanager-backend/pkg/api/handlers.go:80.74,85.33 4 1
qmanager-backend/pkg/api/handlers.go:85.33,88.3 2 0
qmanager-backend/pkg/api/handlers.go:91.2,119.41 2 1
qmanager-backend/pkg/api/handlers.go:127.76,130.33 2 1
qmanager-backend/pkg/api/handlers.go:130.33,133.3 2 0
qmanager-backend/pkg/api/handlers.go:135.2,136.82 2 1
qmanager-backend/pkg/api/handlers.go:136.82,143.3 2 0
qmanager-backend/pkg/api/handlers.go:145.2,146.84 2 1
qmanager-backend/pkg/api/handlers.go:146.84,153.3 2 0
qmanager-backend/pkg/api/handlers.go:155.2,156.16 2 1
qmanager-backend/pkg/api/handlers.go:156.16,164.3 2 0
qmanager-backend/pkg/api/handlers.go:166.2,170.4 1 1
qmanager-backend/pkg/api/handlers.go:174.77,178.50 3 1
qmanager-backend/pkg/api/handlers.go:178.50,185.3 2 0
qmanager-backend/pkg/api/handlers.go:187.2,207.4 7 1
qmanager-backend/pkg/api/handlers.go:210.51,212.29 2 1
qmanager-backend/pkg/api/handlers.go:212.29,213.60 1 1
qmanager-backend/pkg/api/handlers.go:213.60,214.102 1 1
qmanager-backend/pkg/api/handlers.go:214.102,215.13 1 0
qmanager-backend/pkg/api/handlers.go:217.4,219.37 3 1
qmanager-backend/pkg/api/handlers.go:222.2,222.11 1 0
qmanager-backend/pkg/api/handlers.go:225.35,228.2 2 1
qmanager-backend/pkg/api/handlers.go:230.54,232.16 2 1
qmanager-backend/pkg/api/handlers.go:232.16,234.3 1 1
qmanager-backend/pkg/api/handlers.go:235.2,235.52 1 0
qmanager-backend/pkg/api/health_lang.go:9.82,22.2 2 1
qmanager-backend/pkg/api/health_lang.go:25.79,31.2 2 1
qmanager-backend/pkg/api/health_lang.go:34.82,45.2 2 1
qmanager-backend/pkg/api/health_lang.go:48.85,51.2 2 1
qmanager-backend/pkg/api/history.go:11.83,14.2 2 1
qmanager-backend/pkg/api/history.go:17.81,20.2 2 1
qmanager-backend/pkg/api/history.go:22.61,24.16 2 1
qmanager-backend/pkg/api/history.go:24.16,27.3 2 1
qmanager-backend/pkg/api/history.go:28.2,35.21 6 0
qmanager-backend/pkg/api/history.go:35.21,37.21 2 0
qmanager-backend/pkg/api/history.go:37.21,38.12 1 0
qmanager-backend/pkg/api/history.go:40.3,40.13 1 0
qmanager-backend/pkg/api/history.go:40.13,42.4 1 0
qmanager-backend/pkg/api/history.go:43.3,44.16 2 0
qmanager-backend/pkg/api/history.go:47.2,48.20 2 0
qmanager-backend/pkg/api/history.go:48.20,51.3 2 0
qmanager-backend/pkg/api/history.go:53.2,53.29 1 0
qmanager-backend/pkg/api/monitoring.go:10.81,13.32 2 1
qmanager-backend/pkg/api/monitoring.go:13.32,24.3 2 1
qmanager-backend/pkg/api/monitoring.go:26.2,26.72 1 0
qmanager-backend/pkg/api/monitoring.go:30.83,33.32 2 1
qmanager-backend/pkg/api/monitoring.go:33.32,45.3 2 1
qmanager-backend/pkg/api/monitoring.go:47.2,47.72 1 0
qmanager-backend/pkg/api/monitoring.go:51.77,54.32 2 1
qmanager-backend/pkg/api/monitoring.go:54.32,56.33 2 1
qmanager-backend/pkg/api/monitoring.go:56.33,59.4 2 0
qmanager-backend/pkg/api/monitoring.go:60.3,65.9 2 1
qmanager-backend/pkg/api/monitoring.go:68.2,68.72 1 0
qmanager-backend/pkg/api/profiles.go:18.77,29.2 3 1
qmanager-backend/pkg/api/profiles.go:32.78,38.2 2 1
qmanager-backend/pkg/api/profiles.go:41.78,48.2 2 1
qmanager-backend/pkg/api/settings.go:23.81,26.32 2 1
qmanager-backend/pkg/api/settings.go:26.32,31.46 3 1
qmanager-backend/pkg/api/settings.go:31.46,33.4 1 0
qmanager-backend/pkg/api/settings.go:35.3,43.9 2 1
qmanager-backend/pkg/api/settings.go:46.2,46.33 1 1
qmanager-backend/pkg/api/settings.go:46.33,48.62 2 1
qmanager-backend/pkg/api/settings.go:48.62,51.4 2 0
qmanager-backend/pkg/api/settings.go:53.3,53.43 1 1
qmanager-backend/pkg/api/settings.go:53.43,56.4 2 1
qmanager-backend/pkg/api/settings.go:58.3,59.9 2 1
qmanager-backend/pkg/api/settings.go:62.2,62.78 1 0
qmanager-backend/pkg/api/settings.go:70.77,73.32 2 1
qmanager-backend/pkg/api/settings.go:73.32,80.3 3 1
qmanager-backend/pkg/api/settings.go:82.2,82.33 1 1
qmanager-backend/pkg/api/settings.go:82.33,84.85 2 1
qmanager-backend/pkg/api/settings.go:84.85,91.4 2 0
qmanager-backend/pkg/api/settings.go:93.3,95.37 3 1
qmanager-backend/pkg/api/settings.go:95.37,98.4 2 0
qmanager-backend/pkg/api/settings.go:100.3,101.9 2 1
qmanager-backend/pkg/api/settings.go:111.76,114.32 2 1
qmanager-backend/pkg/api/settings.go:114.32,123.3 2 1
qmanager-backend/pkg/api/settings.go:125.2,125.33 1 1
qmanager-backend/pkg/api/settings.go:125.33,127.62 2 1
qmanager-backend/pkg/api/settings.go:127.62,130.4 2 0
qmanager-backend/pkg/api/settings.go:133.3,133.69 1 1
qmanager-backend/pkg/api/settings.go:133.69,135.16 2 0
qmanager-backend/pkg/api/settings.go:135.16,137.5 1 0
qmanager-backend/pkg/api/settings.go:138.4,139.46 2 0
qmanager-backend/pkg/api/settings.go:142.3,143.9 2 1
qmanager-backend/pkg/api/settings.go:147.43,149.2 1 1
qmanager-backend/pkg/api/sms.go:38.68,41.32 2 1
qmanager-backend/pkg/api/sms.go:41.32,44.3 2 1
qmanager-backend/pkg/api/sms.go:46.2,46.33 1 1
qmanager-backend/pkg/api/sms.go:46.33,49.3 2 1
qmanager-backend/pkg/api/sms.go:51.2,51.78 1 0
qmanager-backend/pkg/api/sms.go:54.71,69.2 3 1
qmanager-backend/pkg/api/sms.go:71.72,73.81 2 1
qmanager-backend/pkg/api/sms.go:73.81,80.3 2 0
qmanager-backend/pkg/api/sms.go:82.2,82.20 1 1
qmanager-backend/pkg/api/sms.go:83.14,84.43 1 1
qmanager-backend/pkg/api/sms.go:84.43,91.4 2 0
qmanager-backend/pkg/api/sms.go:93.3,93.54 1 1
qmanager-backend/pkg/api/sms.go:93.54,95.36 2 0
qmanager-backend/pkg/api/sms.go:95.36,102.5 2 0
qmanager-backend/pkg/api/sms.go:105.3,105.73 1 1
qmanager-backend/pkg/api/sms.go:107.30,110.73 2 0
qmanager-backend/pkg/api/sms.go:112.10,117.5 1 0
qmanager-backend/pkg/api/system.go:14.77,17.33 2 1
qmanager-backend/pkg/api/system.go:17.33,20.3 2 0
qmanager-backend/pkg/api/system.go:22.2,24.22 3 1
qmanager-backend/pkg/api/system.go:24.22,26.3 1 0
qmanager-backend/pkg/api/system.go:28.2,28.31 1 1
qmanager-backend/pkg/api/system.go:28.31,36.3 4 1
qmanager-backend/pkg/api/system.go:39.2,44.12 2 0
qmanager-backend/pkg/api/system.go:44.12,46.3 1 0
qmanager-backend/pkg/api/system.go:50.75,54.16 3 1
qmanager-backend/pkg/api/system.go:54.16,56.3 1 1
qmanager-backend/pkg/api/system.go:58.2,61.4 1 1
qmanager-backend/pkg/api/system.go:65.79,73.2 2 1
qmanager-backend/pkg/api/tower.go:29.74,32.33 2 1
qmanager-backend/pkg/api/tower.go:32.33,35.3 2 0
qmanager-backend/pkg/api/tower.go:37.2,38.99 2 1
qmanager-backend/pkg/api/tower.go:38.99,45.3 2 0
qmanager-backend/pkg/api/tower.go:47.2,47.28 1 1
qmanager-backend/pkg/api/tower.go:47.28,48.24 1 1
qmanager-backend/pkg/api/tower.go:48.24,50.4 1 0
qmanager-backend/pkg/api/tower.go:50.9,52.4 1 1
qmanager-backend/pkg/api/tower.go:53.3,54.9 2 1
qmanager-backend/pkg/api/tower.go:57.2,57.26 1 1
qmanager-backend/pkg/api/tower.go:57.26,58.46 1 1
qmanager-backend/pkg/api/tower.go:58.46,62.35 4 0
qmanager-backend/pkg/api/tower.go:62.35,64.5 1 0
qmanager-backend/pkg/api/tower.go:65.4,66.38 2 0
qmanager-backend/pkg/api/tower.go:66.38,69.5 2 0
qmanager-backend/pkg/api/tower.go:70.9,70.33 1 1
qmanager-backend/pkg/api/tower.go:70.33,72.16 2 1
qmanager-backend/pkg/api/tower.go:72.16,74.5 1 0
qmanager-backend/pkg/api/tower.go:75.4,78.26 4 1
qmanager-backend/pkg/api/tower.go:78.26,82.29 4 0
qmanager-backend/pkg/api/tower.go:82.29,84.6 1 0
qmanager-backend/pkg/api/tower.go:86.4,88.38 3 1
qmanager-backend/pkg/api/tower.go:88.38,91.5 2 0
qmanager-backend/pkg/api/tower.go:93.3,94.9 2 1
qmanager-backend/pkg/api/tower.go:97.2,97.100 1 0
qmanager-backend/pkg/api/tower.go:101.78,104.32 2 1
qmanager-backend/pkg/api/tower.go:104.32,110.3 2 1
qmanager-backend/pkg/api/tower.go:112.2,112.72 1 0
